Year,Week,School,Conference,TotalPenalties,TotalPenaltiesYards,Opponent,HomeAway,Season
2023,2,Virginia Tech,ACC,3,25,Purdue,home,regular
2023,2,Purdue,Big Ten,7,48,Virginia Tech,away,regular
2023,2,Rutgers,Big Ten,5,56,Temple,home,regular
2023,2,Temple,American Athletic,7,51,Rutgers,away,regular
2023,2,San Diego State,Mountain West,4,40,UCLA,home,regular
2023,2,UCLA,Pac-12,7,89,San Diego State,away,regular
2023,2,San José State,Mountain West,6,55,Cal Poly,home,regular
2023,2,South Alabama,Sun Belt,6,80,Southeastern Louisiana,home,regular
2023,2,South Carolina,SEC,8,60,Furman,home,regular
2023,2,South Florida,American Athletic,14,114,Florida A&M,home,regular
2023,2,Stanford,Pac-12,5,40,USC,away,regular
2023,2,USC,Pac-12,8,85,Stanford,home,regular
2023,2,Syracuse,ACC,9,72,Western Michigan,home,regular
2023,2,Western Michigan,Mid-American,9,99,Syracuse,away,regular
2023,2,TCU,Big 12,5,50,Nicholls,home,regular
2023,2,Tennessee,SEC,10,88,Austin Peay,home,regular
2023,2,Texas State,Sun Belt,6,40,UT San Antonio,away,regular
2023,2,UT San Antonio,American Athletic,1,5,Texas State,home,regular
2023,2,Toledo,Mid-American,4,43,Texas Southern,home,regular
2023,2,Tulsa,American Athletic,7,65,Washington,away,regular
2023,2,Washington,Pac-12,7,93,Tulsa,home,regular
2023,2,Utah State,Mountain West,4,35,Idaho State,home,regular
2023,2,Wake Forest,ACC,3,25,Vanderbilt,home,regular
2023,2,Vanderbilt,SEC,5,42,Wake Forest,away,regular
2023,2,Washington State,Pac-12,8,52,Wisconsin,home,regular
2023,2,Wisconsin,Big Ten,4,30,Washington State,away,regular
2023,2,Western Kentucky,Conference USA,4,50,Houston Christian,home,regular
2023,2,West Virginia,Big 12,4,30,Duquesne,home,regular
2023,2,Wyoming,Mountain West,3,24,Portland State,home,regular
2023,0,Hawai'i,Mountain West,7,59,Vanderbilt,away,regular
2023,0,Louisiana Tech,Conference USA,5,47,Florida International,home,regular
2023,0,Florida International,Conference USA,5,50,Louisiana Tech,away,regular
2023,0,Vanderbilt,SEC,8,72,Hawai'i,home,regular
2023,0,Jacksonville State,Conference USA,4,52,UTEP,home,regular
2023,0,UTEP,Conference USA,5,55,Jacksonville State,away,regular
2023,0,UMass,FBS Independents,8,69,New Mexico State,away,regular
2023,0,New Mexico State,Conference USA,3,40,UMass,home,regular
2023,0,San Diego State,Mountain West,6,57,Ohio,home,regular
2023,0,Ohio,Mid-American,6,55,San Diego State,away,regular
2023,1,Florida International,Conference USA,8,79,Maine,home,regular
2023,1,Vanderbilt,SEC,3,20,Alabama A&M,home,regular
2023,1,Jacksonville State,Conference USA,7,65,East Tennessee State,home,regular
2023,1,UTEP,Conference USA,10,102,Incarnate Word,home,regular
2023,1,New Mexico State,Conference USA,6,73,Western Illinois,home,regular
2023,1,Ohio,Mid-American,3,30,Long Island University,home,regular
2023,1,San Diego State,Mountain West,14,125,Idaho State,home,regular
