Defense,Offense,Text
Appalachian State,Akron,"Thomas Woodson pass complete to Mykel Traylor-Bennett for 25 yds to the AKRON 36 for a 1ST down APPALACHIAN ST Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Akron,Kent State,"Shane Hynes 30 yd FG GOOD AKRON Penalty, offside defense ( Yards) declined"
Akron,Kent State,"Shane Hynes kickoff for 61 yds , Van Edwards Jr. return for 22 yds to the KENTST 43 AKRON Penalty, Offensive holding (10 Yards) declined"
Akron,Kent State,"Kavious Price pass incomplete KENT ST Penalty, illegal forward pass ( Yards) declined"
Miami (OH),Akron,"AKRON Penalty, delay of game ( Yards) declined"
Akron,Western Michigan,"Jarvion Franklin run for 3 yds for a TD AKRON Penalty, illegal participation ( Yards) declined, (Butch Hampton KICK)"
Ball State,Akron,"Thomas Woodson pass complete to A.J. Coney for 10 yds A.J. Coney fumbled, forced by Corey Hall, recovered by BalSt Lamar Anderson  AKRON Penalty, Defensive holding ( Yards) declined"
Buffalo,Akron,"Thomas Woodson pass complete to Austin Wolf for 10 yds to the Akron 39 AKRON Penalty, illegal formation ( Yards) declined"
Akron,Buffalo,"Tyree Jackson pass complete to Marcus McGill for 38 yds to the Akron 8 for a 1ST down AKRON Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Buffalo,Akron,"Thomas Woodson pass complete to Jerome Lane for 9 yds to the BUFFALO 47 for a 1ST down BUFFALO Penalty, Defensive offside ( Yards) declined for a 1ST down"
Akron,Arkansas-Pine Bluff,"Brandon Duncan run for a loss of 5 yards to the ArkPB 32 ARK PINE BLUFF Penalty, Offensive holding ( Yards) declined"
Iowa State,Akron,"Thomas Woodson pass incomplete AKRON Penalty, face mask (0 yards) ( Yards) declined"
Troy,Akron,"Warren Ball run for 8 yds to the Troy 22 for a 1ST down TROY Penalty, offside defense ( Yards) declined for a 1ST down"
Akron,Troy,"Brandon Silvers pass complete to Tray Eafford for 47 yds to the TROY 21 for a 1ST down AKRON Penalty, offside defense ( Yards) declined for a 1ST down"
Akron,Bowling Green,"James Morgan pass complete to Andrew Clair for 8 yds Andrew Clair fumbled, forced by Jordan George, recovered by Akron Deon'Tae Moore  BOWLING GREEN Penalty, Defensive holding ( Yards) declined"
Akron,Ball State,"Jack Milas pass incomplete BALL ST Penalty, Offensive pass interference ( Yards) declined"
Ball State,Akron,"Thomas Woodson sacked by Sean Hammonds Jr. for a loss of 5 yards to the Akron 14 AKRON Penalty, Offensive holding ( Yards) declined"
Akron,Ball State,"Jack Milas pass complete to Justin Hall for a loss of 1 yard to the BalSt 20 BALL ST Penalty, Offensive holding ( Yards) declined"
Western Michigan,Akron,"Thomas Woodson pass complete to Fransohn Bickley for 13 yds to the WMich 2 for a 1ST down WESTRN MICHIGAN Penalty, Defensive offside ( Yards) declined for a 1ST down"
Akron,Western Michigan,"Josh Grant 35 yd FG GOOD AKRON Penalty, roughing the kicker ( Yards) declined"
Buffalo,Akron,"Thomas Woodson pass complete to Kevin Gladney for 36 yds for a TD BUFFALO Penalty, Defensive pass interference ( Yards) declined, (Tom O'Leary KICK)"
Miami (OH),Akron,"Kato Nelson pass complete to Tra'Von Chapman for no gain to the Akron 15 AKRON Penalty, personal foul ( Yards) declined"
Akron,Kent State,"Dustin Crum pass complete to Mike Carrigan for 5 yds to the Akron 1 AKRON Penalty, Defensive holding ( Yards) declined"
Akron,Northwestern,"TJ Green run for 4 yds to the Akron 32 NORTHWESTERN Penalty, Defensive holding ( Yards) declined"
Iowa State,Akron,"Kato Nelson pass incomplete AKRON Penalty, Offensive holding ( Yards) declined"
Iowa State,Akron,"Nick Gasser punt for 43 yds, punt out-of-bounds at the Akron 32 , Tarique Milton returns for 37 yds to the IOWAST 47 IOWA ST Penalty, illegal formation (10 Yards) declined"
Akron,Miami (OH),"Gus Ragland pass complete to Dominique Robinson for 25 yds to the Akron 20 for a 1ST down AKRON Penalty, Defensive pass interference ( Yards) declined for a 1ST down"
Akron,Buffalo,"Evan Finegan punt for 46 yds AKRON Penalty, Offensive offside ( Yards) declined"
Akron,Central Michigan,"Tony Poljan run for 1 yd for a TD AKRON Penalty, Defensive offside ( Yards) declined (Ryan Tice KICK)"
Akron,Central Michigan,"Tony Poljan pass complete to Romello Ross for no gain to the CMich 37 CENTRAL MICH Penalty, ineligible downfield on pass ( Yards) declined"
Akron,Northern Illinois,"Marcus Childers pass complete to Corey Lersch for 19 yds for a TD AKRON Penalty, Defensive holding ( Yards) declined (Andrew Gantz KICK)"
Northern Illinois,Akron,"Alex Ramart sacked by Josh Corcoran for a loss of 5 yards to the Akron 23 AKRON Penalty, Offensive holding ( Yards) declined"
Akron,Eastern Michigan,"Tyler Wiegers pass complete to Bryce Kemp for 8 yds to the Akron 31 for a 1ST down AKRON Penalty, Defensive offside ( Yards) declined for a 1ST down"
Bowling Green,Akron,"Kato Nelson sacked by Kyle Junior for a loss of 6 yards to the Akron 34 AKRON Penalty, Offensive holding ( Yards) declined"
Ohio,Akron,"Kato Nelson pass complete to Mykel Traylor-Bennett for 12 yds for a TD OHIO Penalty, personal foul ( Yards) declined (Nick Gasser KICK)"
Akron,Illinois,"Reggie Corbin run for 23 yds to the ILLINOIS 38 for a 1ST down AKRON Penalty, Defensive offside ( Yards) declined for a 1ST down"
Central Michigan,Akron,"Michiah Burton run for no gain to the Akron 46 AKRON Penalty, Offensive holding ( Yards) declined"
Akron,Central Michigan,"David Moore pass complete to Tony Poljan for 28 yds to the CENTMICH 45 for a 1ST down AKRON Penalty, Defensive holding ( Yards) declined for a 1ST down"
Central Michigan,Akron,"Kato Nelson pass incomplete AKRON Penalty, Defensive holding ( Yards) declined"
Central Michigan,Akron,"Robbie Kelley sacked by Max Saylor for a loss of 7 yards to the Akron 42 AKRON Penalty, illegal formation ( Yards) declined"
Akron,Troy,"Kaleb Barker pass complete to Khalil McClain for 2 yds for a TD, (Tyler Sumpter KICK) AKRON Penalty, Defensive offside ( Yards) declined"
Akron,UMass,"George Georgopoulos punt for 47 yds, downed at the UMASS 15 for a 1ST down AKRON Penalty, Defensive holding (15 Yards) declined for a 1ST down"
Akron,UMass,"Kevin Brown run for no gain to the Akron 17 MASSACHUSETTS Penalty, Offensive holding ( Yards) declined"
Kent State,Akron,"Brandon Lee run for a loss of 10 yards to the KntSt 39 AKRON Penalty, illegal block ( Yards) declined"
Kent State,Akron,"Kato Nelson pass incomplete to Timothy Scippio AKRON Penalty, illegal formation ( Yards) declined"
Buffalo,Akron,"Brandon Lee run for a loss of 6 yards to the Buff 26 AKRON Penalty, Offensive holding ( Yards) declined"
Buffalo,Akron,"Zach Gibson run for no gain to the Buff 13 AKRON Penalty, IS ( Yards) declined"
Bowling Green,Akron,"Kato Nelson run for no gain to the Akron 29 AKRON Penalty, illegal formation ( Yards) declined"
Akron,Bowling Green,"Bryson Denley run for a loss of 2 yards to the BwGrn 17 BOWLING GREEN Penalty, illegal formation ( Yards) declined"
Akron,Bowling Green,"Grant Loy run for 3 yds to the BwGrn 32 BOWLING GREEN Penalty, illegal formation ( Yards) declined"
Akron,Miami (OH),"Brett Gabbert sacked by John Lako for a loss of 8 yards to the MIAMIOH 48 MIAMI OH Penalty, illegal shift ( Yards) declined"
Ohio,Akron,"Kato Nelson pass incomplete to Timothy Scippio AKRON Penalty, ineligible downfield on pass ( Yards) declined"
Western Michigan,Akron,"Zach Gibson pass complete to Teon Dollard for a loss of 2 yards to the Akron 24 AKRON Penalty, Offensive holding ( Yards) declined"
Kent State,Akron,"Jerry Fitschen punt for 54 yds , Isaac Vance returns for no gain to the KntSt 10 Isaac Vance fumbled, recovered by Akron Bubba Arslanian  KENT ST Penalty, personal foul ( Yards) declined"
Akron,Kent State,"Collin Schlee sacked by Julian Richardson for a loss of 10 yards to the Akron 33 KENT ST Penalty, illegal formation ( Yards) declined"
Miami (OH),Akron,"MyJaden Horton run for no gain to the MiaOh 49 AKRON Penalty, false start ( Yards) declined"
Akron,Miami (OH),"Kevin Davis run for 2 yds to the Akron 21 MIAMI OH Penalty, illegal formation ( Yards) declined"
Akron,Bowling Green,"Matt McDonald pass incomplete to Quintin Morris BOWLING GREEN Penalty, ineligible downfield on pass ( Yards) declined"
Akron,Bowling Green,"Bryson Denley run for 4 yds to the Akron 18 BOWLING GREEN Penalty, Offensive holding ( Yards) declined"
