Furman;#201547;#A7A8AA;(FURMAN|FUR);FURMAN;FUR;;;;;;
Gardner-Webb;#BF2F37;#FFFFFF;(GWU|WEBB);GWU;WEBB;;;;;;
Georgia;#BA0C2F;#000000;(GEORGIA|UGA|Georgia|Geo);GEORGIA;UGA;Georgia;Geo;;;;
Georgia Southern;#011E41;#A3AAAE;(GA SOUTHERN|GASOUTHERN|GAS|GSO|GSU|GS);GA SOUTHERN;GASOUTHERN;GAS;GSO;GSU;GS;;
Georgia State;#0039A6;#C60C30;(GEORGIA ST|GSU|GEORGIAST|GAST|GST);GEORGIA ST;GSU;GEORGIAST;GAST;GST;;;
Georgia Tech;#B3A369;#003057;(GEORGIA TECH|GATECH|GTech|GT|GAT|GIT);GEORGIA TECH;GATECH;GTech;GT;GAT;GIT;;
Grambling;#EAA921;#000000;(GRAMBLING|GRAM|GSU);GRAMBLING;GRAM;GSU;;;;;
Hampton;#0060A9;#FFFFFF;(HAMPTON|HAM);HAMPTON;HAM;;;;;;
Hawai'i;#024731;#C8C8C8;(HAWAII|Hawaii|HAW|UH);HAWAII;Hawaii;HAW;UH;;;;
Holy Cross;#602D89;#FFFFFF;(HC|HOLY CROSS);HC;HOLY CROSS;;;;;;
Houston;#C8102E;#B2B4B2;(HOUSTON|Houst|HOU|UHO);HOUSTON;Houst;HOU;UHO;;;;
Houston Baptist;#1C4E9D;#F3652C;(HBU|HOUSTON BAPTIST);HBU;HOUSTON BAPTIST;;;;;;
Houston Christian;#003896;#FC4C02;(HstnB|HCU);HstnB;HCU;;;;;;
Howard;#003A63;#E51937;(HOWARD|HOWFB14|HOW);HOWARD;HOWFB14;HOW;;;;;
Idaho;#B3A369;#B3A369;(IDAHO|Idaho|IDAHO17|IDA);IDAHO;Idaho;IDAHO17;IDA;;;;
Idaho State;#FF671F;#000000;(IDAHO ST|ISU|IDAHOST);IDAHO ST;ISU;IDAHOST;;;;;
Illinois;#13294B;#E84A27;(ILLINOIS|Illin|ILL);ILLINOIS;Illin;ILL;;;;;
Illinois State;#CE1126;#F9DD16;(ILLINOIS ST|ILS|ISU);ILLINOIS ST;ILS;ISU;;;;;
Incarnate Word;#CB333B;#000000;(INCARNATEW|UIW|InWrd);INCARNATEW;UIW;InWrd;;;;;
Indiana;#990000;#EEEDEB;(INDIANA|IND|INS);INDIANA;IND;INS;;;;;
Indiana State;#0142BC;#FFFFFF;(INDIANAST|INDIANA ST|INS|ISU);INDIANAST;INDIANA ST;INS;ISU;;;;
Iowa;#FFCD00;#000000;(IOWA|IOW|UI|IWA);IOWA;IOW;UI;IWA;;;;
Iowa State;#C8102E;#F1BE48;(IOWA ST|IOWAST|ISU);IOWA ST;IOWAST;ISU;;;;;
Jackson State;#002147;#008ED6;(JACKSON ST|JACKST|JKST|JaxSt);JACKSON ST;JACKST;JKST;JaxSt;;;;
Jacksonville State;#CC0000;#231F20;(JACKSONVILLE ST|JAXVILLEST|JSU);JACKSONVILLE ST;JAXVILLEST;JSU;;;;;
James Madison;#450084;#CBB677;(JMU);JMU;;;;;;;
Kansas;#0051BA;#E8000D;(KANSAS|KAN|Kan|KU|Kansas|Kans);KANSAS;KAN;Kan;KU;Kansas;Kans;;
Kansas State;#512888;#D1D1D1;(KANSAS ST|KANSASST|KSU|KS|KanSt);KANSAS ST;KANSASST;KSU;KS;KanSt;;;
Kennesaw State;#FDBB30;#C5C6C8;(KENNESAW ST|KSU);KENNESAW ST;KSU;;;;;;
Kent State;#002664;#EAAB00;(KENT ST|KENTST|KSU|KENT|KntSt);KENT ST;KENTST;KSU;KENT;KntSt;;;
Kentucky;#0033A0;#000000;(KENTUCKY|Kent|UKY|UK);KENTUCKY;Kent;UKY;UK;;;;
Lafayette;#A8996E;#98002E;(LAFAYETTE|LAFAYETT);LAFAYETTE;LAFAYETT;;;;;;
Lamar;#DC0032;#FCB034;(LAMAR|LU|LAM);LAMAR;LU;LAM;;;;;
Lehigh;#653600;#FFD24F;(LEHIGH);LEHIGH;;;;;;;
Liberty;#002D62;#C41230;(LIBERTY|LIB|LU);LIBERTY;LIB;LU;;;;;
Long Island University;#231F20;#8A8D8F;(LIU|LONG ISLAND);LIU;LONG ISLAND;;;;;;
Louisiana;#CE181E;#C1C5C9;(LOUISIANA|LOU|UL LAFAYETTE|ULLAFAYTTE|ULL|UL|LaLaf|LA);LOUISIANA;LOU;UL LAFAYETTE;ULLAFAYTTE;ULL;UL;LaLaf;LA
Louisiana Monroe;#840029;#FDB913;(UL MONROE|ULMONROE|ULM|LaMon);UL MONROE;ULMONROE;ULM;LaMon;;;;
Louisiana Tech;#002F8B;#E31B23;(LOUISIANA TECH|LATECH|LaTch|LAT|TECH);LOUISIANA TECH;LATECH;LaTch;LAT;TECH;;;
Louisville;#AD0000;#000000;(LOUISVILLE|LOU|UL|Lvile);LOUISVILLE;LOU;UL;Lvile;;;;
LSU;#461D7C;#FDD023;(LSU|LS);LSU;LS;;;;;;
Maine;#003263;#AB0634;(MAINE|MAI);MAINE;MAI;;;;;;
Marshall;#00B140;#A2AAAD;(MARSHALL|MAR);MARSHALL;MAR;;;;;;
Maryland;#E03A3E;#FFD520;(MARYLAND|UMD);MARYLAND;UMD;;;;;;
McNeese;#00529B;#FFD204;(MCNEESE ST|MCNEESE|McNSt|MCN);MCNEESE ST;MCNEESE;McNSt;MCN;;;;
Memphis;#003087;#898D8D;(MEMPHIS|Memph|MEM-ROAD|MEM_ROAD|MEM);MEMPHIS;Memph;MEM-ROAD;MEM_ROAD;MEM;;;
Mercer;#f76800;#000000;(MERCER|MER);MERCER;MER;;;;;;
Miami;#f47321;#005030;(MIAMI FL|MIAMIFL|MIAMI|UM|MiaFl|MIA);MIAMI FL;MIAMIFL;MIAMI;UM;MiaFl;MIA;;
Miami (OH);#B61E2E;#000000;(MIAMI OH|MIAMIOH|MIAMI|MiaOh|MIA|MU);MIAMI OH;MIAMIOH;MIAMI;MiaOh;MIA;MU;;
Michigan;#00274C;#FFCB05;(MICHIGAN|MICH|MIC);MICHIGAN;MICH;MIC;;;;;
Michigan State;#18453B;#FFFFFF;(MICHIGANST|MSU|MICHIGAN ST|MchSt);MICHIGANST;MSU;MICHIGAN ST;MchSt;;;;
Middle Tennessee;#000000;#0066CC;(MIDDLE TENN|MIDDLETENN|MTSU|MTS|MT);MIDDLE TENN;MIDDLETENN;MTSU;MTS;MT;;;
