Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Louisiana Monroe,Alabama,4,1,25,8,Fumble Recovery (Own),92,8,-10,8,false,Louisiana Monroe,8:30,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104917e17,SEC,56,3,"Jalen Milroe run for a loss of 10 yards to the LaMon 18 Jalen Milroe fumbled, recovered by Alab Jalen Milroe",2022-09-17T22:59:39.000Z,2022,3,regular,neither,4.0,Unsuccessful,false,true,,,,,,,Jalen Milroe,Alab Jalen Milroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,2,25,9,Pass Incompletion,82,18,0,18,false,Louisiana Monroe,8:05,Sun Belt,7,2,40140388025,401403880,Alabama,4.01403880104919e17,SEC,56,3,Jalen Milroe pass incomplete,2022-09-17T22:59:48.000Z,2022,3,regular,neither,12.6,Unsuccessful,false,true,,Jalen Milroe,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,3,25,10,Timeout,82,0,0,18,false,Louisiana Monroe,8:04,Sun Belt,7,1,40140388025,401403880,Alabama,4.0140388010492e17,SEC,56,3,"Timeout UL MONROE, clock 08:04",2022-09-17T22:59:54.000Z,2022,3,regular,neither,0,Timeout,true,true,,,,,,,,,,,,,,,,,,,,,,,UL MONROE,08:04,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,3,25,11,Rush,82,18,12,18,false,Louisiana Monroe,7:54,Sun Belt,7,1,40140388025,401403880,Alabama,4.01403880104925e17,SEC,56,3,"Jalen Milroe run for 17 yds to the LaMon 1 ALABAMA Penalty, Delay of Game (-5 Yards) to the LaMon 6",2022-09-17T23:03:20.000Z,2022,3,regular,neither,18,Unsuccessful,false,true,Jalen Milroe,,,,,,,,,,,,,,,,,,,,,,,,Delay Of Game,enforced,Alabama,No data,,,,,,,,
Louisiana Monroe,Alabama,4,3,25,12,Rushing Touchdown,94,6,6,6,true,Louisiana Monroe,7:36,Sun Belt,7,1,40140388025,401403880,Alabama,4.01403880104926e17,SEC,63,3,Trey Sanders run for 6 yds for a TD,2022-09-17T23:07:24.000Z,2022,3,regular,offense,6,Successful,true,true,Trey Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,4,26,1,Kickoff,35,3,9,65,false,Louisiana Monroe,7:36,Sun Belt,7,1,40140388026,401403880,Alabama,4.01403880104926e17,SEC,63,3,"Jack Martin kickoff for 47 yds , Alred Luke return for 9 yds to the LaMon 27",2022-09-17T23:07:24.000Z,2022,3,regular,neither,3,Kickoff,true,false,,,,,,,,,,,,,,,,Jack Martin,returned,Alred Luke,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,1,26,2,Rush,73,10,2,73,false,Louisiana Monroe,7:00,SEC,63,3,40140388026,401403880,Alabama,4.0140388010493e17,Sun Belt,7,1,Zack Martin run for 2 yds to the LaMon 29,2022-09-17T23:08:23.000Z,2022,3,regular,neither,5.0,Unsuccessful,false,false,Zack Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,2,26,3,Pass Incompletion,71,8,0,71,false,Louisiana Monroe,6:36,SEC,63,3,40140388026,401403880,Alabama,4.01403880104936e17,Sun Belt,7,1,Garrett Hable pass incomplete,2022-09-17T23:08:36.000Z,2022,3,regular,neither,5.6,Unsuccessful,false,false,,Garrett Hable,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,3,26,4,Pass Reception,71,8,-5,71,false,Louisiana Monroe,6:00,SEC,63,3,40140388026,401403880,Alabama,4.0140388010494e17,Sun Belt,7,1,Garrett Hable pass complete to Zack Martin for a loss of 5 yards to the LaMon 24,2022-09-17T23:10:11.000Z,2022,3,regular,neither,8,Unsuccessful,false,false,,Garrett Hable,Zack Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,4,26,5,Punt,76,13,0,76,false,Louisiana Monroe,6:00,SEC,63,3,40140388026,401403880,Alabama,4.0140388010494e17,Sun Belt,7,1,"Braxton Guilbeau punt for 36 yds, punt out-of-bounds at the Alab 40",2022-09-17T23:10:11.000Z,2022,3,regular,neither,13,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Braxton Guilbeau,out-of-bounds,,,,,,,,,,,,,,
Alabama,Louisiana Monroe,4,4,26,6,Punt,76,13,0,76,false,Louisiana Monroe,5:45,SEC,63,3,40140388026,401403880,Alabama,4.01403880104945e17,Sun Belt,7,1,"Braxton Guilbeau punt for 36 yds, punt out-of-bounds at the Alab 40",2022-09-17T23:10:31.000Z,2022,3,regular,neither,13,Punt,false,false,,,,,,,,,,,,,,,,,,,,,Braxton Guilbeau,out-of-bounds,,,,,,,,,,,,,,
Louisiana Monroe,Alabama,4,1,27,1,Rush,40,10,13,60,false,Louisiana Monroe,5:15,Sun Belt,7,1,40140388027,401403880,Alabama,4.01403880104948e17,SEC,63,3,Jamarion Miller run for 13 yds to the LaMon 47 for a 1ST down,2022-09-17T23:16:33.000Z,2022,3,regular,neither,5.0,Successful,true,false,Jamarion Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
