Defense,Offense,Quarter,Down,Drive_number,Play_number,Play_type,Yard_line,Distance,Yards_gained,Yards_to_goal,Scoring,Away,Clock,Defense_conference,Defense_score,Defense_timeouts,Drive_id,Game_id,Home,ID,Offense_conference,Offense_score,Offense_timeouts,Play_text,Wall_clock,Year,Week,Season,Who_scored,Yards_to_success,Success,TD_first,Score_drive,Runner,Passer,Receiver,Interceptor,Tackler,Forcer,Fumbler,Recoverer,PAT_kicker,PAT_type,Two_point,Two_point_type,Two_point_runner,Two_point_passer,Two_point_receiver,Kicker,Kick_type,Returner,Blocker,FG_type,Punter,Punt_type,Timeout_team,Timeout_time,Penalty1_type,Penalty1_status,Penalty1_team,Penalty1_transgressor,Penalty2_type,Penalty2_status,Penalty2_team,Penalty2_transgressor,Penalty3_type,Penalty3_status,Penalty3_team,Penalty3_transgressor
Kansas State,Alabama,2,2,8,2,Rush,61,8,10,61,false,Alabama,13:35,Big 12,10,3,4014420188,401442018,Kansas State,401442018102866401,SEC,7,3,Jahmyr Gibbs run for 10 yds to the Alab 49 for a 1ST down,2022-12-31T17:56:54.000Z,2022,1,postseason,neither,5.6,Successful,true,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,2,1,8,3,Rush,51,10,2,51,false,Alabama,13:15,Big 12,10,3,4014420188,401442018,Kansas State,401442018102868401,SEC,7,3,Jahmyr Gibbs run for 2 yds to the KanSt 49,2022-12-31T17:57:14.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,true,Jahmyr Gibbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,2,2,8,4,Pass Reception,49,8,47,49,false,Alabama,12:51,Big 12,10,3,4014420188,401442018,Kansas State,401442018102874801,SEC,7,3,Bryce Young pass complete to Jermaine Burton for 47 yds to the KanSt 2 for a 1ST down,2022-12-31T17:58:03.000Z,2022,1,postseason,neither,5.6,Successful,true,true,,Bryce Young,Jermaine Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,2,1,8,5,Rush,2,2,1,2,false,Alabama,12:04,Big 12,10,3,4014420188,401442018,Kansas State,401442018102879501,SEC,7,3,Jase McClellan run for 1 yd to the KanSt 1,2022-12-31T17:58:30.000Z,2022,1,postseason,neither,1.0,Successful,false,true,Jase McClellan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,2,2,8,6,Passing Touchdown,1,1,1,1,true,Alabama,11:33,Big 12,10,3,4014420188,401442018,Kansas State,401442018102886601,SEC,14,3,Bryce Young pass complete to Cameron Latu for 1 yd for a TD (Will Reichard KICK),2022-12-31T17:59:38.000Z,2022,1,postseason,offense,0.7,Successful,true,true,,Bryce Young,Cameron Latu,,,,,,Will Reichard,made,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,Alabama,2,2,9,1,Kickoff,70,14,0,70,false,Alabama,11:31,Big 12,10,3,4014420189,401442018,Kansas State,401442018102886802,SEC,14,3,Will Reichard kickoff for 68 yds for a touchback,2022-12-31T18:04:15.000Z,2022,1,postseason,neither,9.799999999999999,Kickoff,false,false,,,,,,,,,,,,,,,,Will Reichard,touchback,No data,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,1,9,2,Rush,25,10,2,75,false,Alabama,11:21,SEC,14,3,4014420189,401442018,Kansas State,401442018102887801,Big 12,10,3,Deuce Vaughn run for 2 yds to the KanSt 27,2022-12-31T18:05:01.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,2,9,3,Rush,27,8,8,73,false,Alabama,11:16,SEC,14,3,4014420189,401442018,Kansas State,401442018102888301,Big 12,10,3,Adrian Martinez run for 8 yds to the KanSt 35 for a 1ST down,2022-12-31T18:05:41.000Z,2022,1,postseason,neither,5.6,Successful,true,false,Adrian Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,1,9,4,Rush,35,10,3,65,false,Alabama,9:59,SEC,14,3,4014420189,401442018,Kansas State,401442018102904001,Big 12,10,3,Deuce Vaughn run for 3 yds to the KanSt 38,2022-12-31T18:06:34.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,2,9,5,Rush,38,7,-4,62,false,Alabama,9:51,SEC,14,3,4014420189,401442018,Kansas State,401442018102904801,Big 12,10,3,Deuce Vaughn run for a loss of 4 yards to the KanSt 34,2022-12-31T18:07:03.000Z,2022,1,postseason,neither,4.8999999999999995,Unsuccessful,false,false,Deuce Vaughn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,3,9,6,Pass Reception,34,11,12,66,false,Alabama,8:40,SEC,14,3,4014420189,401442018,Kansas State,401442018102915901,Big 12,10,3,Will Howard pass complete to Kade Warner for 12 yds to the KanSt 46 for a 1ST down,2022-12-31T18:07:56.000Z,2022,1,postseason,neither,11,Successful,true,false,,Will Howard,Kade Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,1,9,7,Rush,46,10,4,54,false,Alabama,8:17,SEC,14,3,4014420189,401442018,Kansas State,401442018102918201,Big 12,10,3,Adrian Martinez run for 4 yds to the 50 yard line,2022-12-31T18:08:18.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,Adrian Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,2,9,8,Penalty,50,6,-5,50,false,Alabama,7:46,SEC,14,3,4014420189,401442018,Kansas State,401442018102925301,Big 12,10,3,"KANSAS ST Penalty, Illegal Touching (-5 Yards) to the KanSt 45",2022-12-31T18:11:03.000Z,2022,1,postseason,neither,4.199999999999999,Penalty,false,false,,,,,,,,,,,,,,,,,,,,,,,,,Illegal Touching,enforced,Kansas State,No data,,,,,,,,
Alabama,Kansas State,2,3,9,9,Penalty,45,11,15,55,false,Alabama,7:46,SEC,14,3,4014420189,401442018,Kansas State,401442018102925302,Big 12,10,3,"ALABAMA Penalty, Personal Foul (15 Yards) to the Alab 40 for a 1ST down",2022-12-31T18:11:03.000Z,2022,1,postseason,neither,11,Penalty,true,false,,,,,,,,,,,,,,,,,,,,,,,,,Personal Foul,enforced,Alabama,No data,,,,,,,,
Alabama,Kansas State,2,1,9,10,Pass Incompletion,60,10,0,40,false,Alabama,7:23,SEC,14,3,4014420189,401442018,Kansas State,401442018102927601,Big 12,10,3,Will Howard pass incomplete,2022-12-31T18:16:11.000Z,2022,1,postseason,neither,5.0,Unsuccessful,false,false,,Will Howard,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Kansas State,2,2,9,11,Rush,60,10,-4,40,false,Alabama,7:01,SEC,14,3,4014420189,401442018,Kansas State,401442018102929801,Big 12,10,3,Will Howard run for a loss of 4 yards to the Alab 44,2022-12-31T18:17:20.000Z,2022,1,postseason,neither,7.0,Unsuccessful,false,false,Will Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
